[2026-04-17 08:25:59] [HIGH] PORT SCAN DETECTED | SRC: 13.69.239.74 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:00] [HIGH] PORT SCAN DETECTED | SRC: 13.69.239.74 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:01] [HIGH] PORT SCAN DETECTED | SRC: 13.69.239.74 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:01] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:01] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:02] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:02] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:04] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:04] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:08] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:09] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:11] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:13] [HIGH] PORT SCAN DETECTED | SRC: 104.46.162.226 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:18] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:26:46] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:27:00] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:27:53] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
